-66,-66,-66,-64,-65,-66,-65,-65,-66,-65,-66,-64,-65,-65,-65,-65,-64,-64,-66,-64,-64,-65,-66,-65,-65
-69,-69,-69,-68,-68,-69,-68,-68,-69,-69,-68,-69,-69,-68,-69,-69,-68,-68,-69,-69,-68,-68,-69,-69,-69
-74,-72,-74,-74,-71,-74,-72,-73,-75,-73,-72,-68,-72,-70,-72,-74,-71,-74,-71,-73,-71,-74,-74,-73,-73
-72,-73,-74,-73,-73,-72,-73,-72,-73,-73,-73,-73,-72,-72,-73,-72,-73,-71,-72,-73,-74,-73,-72,-73,-72
-69,-69,-68,-70,-68,-69,-69,-69,-70,-68,-68,-68,-68,-69,-69,-69,-68,-68,-69,-68,-68,-69,-69,-69,-68
-68,-68,-68,-67,-67,-67,-67,-69,-69,-68,-69,-68,-68,-68,-67,-66,-66,-67,-67,-68,-66,-67,-68,-67,-67
-76,-75,-72,-74,-72,-76,-71,-71,-76,-76,-72,-74,-72,-71,-76,-73,-72,-70,-74,-74,-72,-73,-71,-73,-72
-67,-68,-68,-68,-67,-69,-69,-68,-68,-68,-69,-69,-69,-68,-68,-69,-68,-68,-68,-68,-67,-68,-68,-68,-68
-67,-68,-69,-68,-68,-67,-69,-68,-68,-67,-70,-68,-68,-68,-68,-67,-67,-69,-66,-67,-69,-68,-68,-69,-68
-73,-75,-70,-75,-70,-72,-75,-72,-76,-74,-72,-76,-68,-76,-74,-74,-77,-71,-75,-75,-78,-77,-73,-76,-72
-72,-72,-69,-72,-72,-69,-73,-75,-73,-70,-73,-72,-74,-73,-70,-71,-70,-69,-70,-70,-70,-69,-71,-69,-71
-74,-74,-75,-75,-75,-76,-74,-75,-76,-74,-77,-75,-75,-77,-76,-76,-74,-76,-75,-75,-75,-75,-75,-75,-75
-67,-65,-67,-68,-68,-67,-65,-67,-67,-65,-67,-68,-68,-67,-69,-66,-66,-66,-67,-67,-66,-67,-68,-66,-65
-67,-65,-65,-67,-67,-66,-67,-67,-66,-66,-66,-67,-67,-66,-67,-67,-66,-65,-67,-67,-66,-66,-66,-67,-63
-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69
-79,-78,-79,-78,-78,-78,-79,-77,-81,-77,-77,-78,-79,-79,-76,-76,-78,-72,-80,-75,-78,-80,-77,-77,-76
-63,-63,-63,-62,-64,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,-63,-63,-63,-63
-69,-68,-70,-73,-68,-72,-72,-73,-69,-71,-73,-69,-70,-70,-70,-72,-69,-71,-74,-67,-66,-71,-66,-73,-74
-73,-75,-74,-73,-71,-76,-74,-74,-73,-75,-72,-75,-75,-71,-71,-75,-73,-76,-76,-72,-70,-73,-73,-76,-74
-79,-77,-76,-79,-77,-77,-73,-78,-78,-76,-79,-80,-80,-78,-79,-77,-79,-78,-78,-76,-79,-79,-74,-78,-78
-66,-65,-67,-68,-65,-65,-67,-65,-66,-65,-66,-65,-64,-64,-65,-66,-64,-65,-66,-65,-66,-66,-65,-65,-66
