2,5,10,12,16,17

-71,-75,-71,-80,-71,-70,-70,-71,-74,-70,-68,-74,-76,-73,-75,-74,-70,-79,-70,-66,-69,-71,-73,-73,-72

-63,-62,-63,-62,-62,-62,-63,-63,-63,-62,-63,-62,-62,-62,-63,-63,-63,-63,-63,-63,-62,-62,-63,-62,-62

-75,-75,-75,-76,-75,-75,-75,-73,-72,-74,-74,-74,-74,-74,-75,-75,-75,-74,-76,-75,-76,-73,-74,-74,-75

-76,-72,-73,-74,-73,-76,-72,-70,-73,-70,-74,-72,-77,-74,-74,-72,-76,-74,-77,-73,-75,-73,-73,-75,-73

1,4,11,13,8,15

-62,-61,-61,-60,-59,-60,-60,-62,-61,-62,-60,-60,-61,-60,-62,-63,-59,-58,-58,-61,-63,-61,-61,-59,-61

-80,-79,-76,-79,-82,-83,-82,-79,-81,-80,-75,-78,-81,-77,-79,-80,-82,-82,-81,-76,-81,-83,-74,-81,-76

-79,-75,-76,-72,-76,-75,-75,-75,-74,-76,-76,-75,-76,-76,-76,-74,-75,-73,-75,-76,-75,-76,-76,-74,-77

-76,-75,-78,-72,-75,-72,-78,-77,-74,-78,-76,-74,-75,-71,-77,-75,-71,-71,-77,-79,-72,-75,-77,-79,-77

-69,-76,-73,-69,-68,-68,-66,-67,-69,-72,-69,-69,-71,-68,-68,-73,-67,-69,-67,-72,-73,-69,-67,-70,-69

-73,-73,-75,-71,-72,-71,-73,-73,-71,-72,-75,-73,-75,-73,-73,-75,-72,-73,-73,-72,-74,-73,-74,-73,-74

-68,-68,-67,-73,-66,-68,-73,-71,-68,-70,-66,-68,-65,-68,-65,-68,-68,-66,-65,-67,-65,-66,-64,-66,-67

-70,-73,-72,-73,-71,-72,-71,-75,-75,-74,-77,-72,-73,-70,-71,-70,-70,-75,-74,-72,-70,-72,-70,-74,-71

-72,-73,-75,-76,-73,-70,-72,-71,-70,-73,-71,-71,-70,-70,-69,-72,-72,-74,-70,-73,-73,-70,-70,-70,-70

-69,-69,-68,-69,-69,-73,-70,-70,-69,-69,-66,-68,-70,-70,-71,-70,-69,-69,-69,-72,-69,-71,-71,-74,-68

-74,-78,-79,-73,-78,-72,-81,-70,-76,-70,-77,-78,-74,-75,-72,-79,-70,-70,-72,-76,-75,-76,-80,-66,-72

-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-72,-73,-73,-72,-71,-72,-71,-72,-74,-72,-71,-73,-72,-73,-73

6,8,9,10,14,17

-73,-75,-73,-72,-73,-74,-71,-70,-73,-73,-70,-70,-74,-69,-72,-71,-75,-72,-73,-67,-69,-72,-69,-72,-67

-68,-68,-67,-68,-69,-69,-69,-68,-68,-69,-69,-69,-69,-69,-69,-68,-69,-68,-68,-68,-68,-69,-68,-68,-68

-73,-73,-75,-74,-73,-73,-74,-73,-72,-73,-73,-73,-74,-74,-73,-73,-73,-73,-74,-72,-73,-72,-74,-74,-74

-67,-70,-68,-68,-71,-70,-70,-69,-71,-70,-68,-70,-69,-68,-69,-69,-68,-68,-69,-69,-68,-68,-67,-70,-69

-69,-67,-68,-68,-68,-68,-68,-68,-68,-69,-68,-68,-67,-68,-67,-69,-67,-69,-68,-68,-68,-68,-68,-68,-69

-75,-73,-73,-72,-73,-73,-72,-74,-74,-72,-73,-73,-73,-74,-72,-73,-72,-72,-73,-72,-72,-72,-72,-73,-73

-72,-71,-72,-70,-70,-73,-72,-70,-70,-70,-72,-72,-71,-72,-71,-70,-70,-71,-70,-70,-71,-70,-71,-70,-70

-75,-73,-74,-73,-72,-68,-72,-69,-73,-71,-71,-75,-70,-67,-71,-79,-82,-78,-80,-79,-77,-81,-77,-81,-80

-70,-68,-70,-71,-72,-66,-70,-68,-68,-68,-68,-66,-69,-72,-70,-69,-70,-66,-72,-68,-68,-67,-66,-65,-68

-70,-69,-72,-72,-70,-70,-70,-70,-70,-71,-70,-71,-70,-69,-69,-71,-72,-70,-71,-71,-71,-69,-71,-71,-70

-58,-58,-61,-59,-58,-55,-57,-56,-55,-58,-56,-54,-60,-60,-58,-58,-56,-57,-56,-55,-55,-55,-57,-56,-57

-75,-72,-74,-70,-73,-71,-75,-69,-71,-70,-72,-76,-72,-70,-71,-72,-74,-72,-74,-72,-77,-73,-73,-69,-73

3,7,11,12,5,15

-76,-72,-74,-75,-73,-77,-75,-72,-72,-76,-75,-77,-75,-76,-76,-76,-76,-73,-75,-77,-79,-73,-76,-81,-77

-71,-71,-71,-69,-72,-69,-70,-71,-72,-70,-71,-70,-72,-70,-73,-70,-67,-72,-73,-69,-68,-74,-71,-69,-69

